Date,Price
11-10-2018,1600
12-10-2018,1600
13-10-2018,1600
14-10-2018,1600
15-10-2018,1600
16-10-2018,1600
17-10-2018,1600
18-10-2018,1600
19-10-2018,1600
20-10-2018,1600
21-10-2018,1600
22-10-2018,1600
23-10-2018,1800
24-10-2018,1800
25-10-2018,1600
26-10-2018,1600
27-10-2018,1600
28-10-2018,1600
29-10-2018,1600
30-10-2018,1600
31-10-2018,1600
01-11-2018,1600
02-11-2018,1600
03-11-2018,1800
04-11-2018,1800
05-11-2018,1800
06-11-2018,1600
07-11-2018,1600
08-11-2018,1600
09-11-2018,1600
10-11-2018,1600
11-11-2018,1600
12-11-2018,1600
13-11-2018,1600
14-11-2018,1600
15-11-2018,1600
16-11-2018,1600
17-11-2018,1600
18-11-2018,1800
19-11-2018,1800
20-11-2018,1800
21-11-2018,1600
22-11-2018,1600
23-11-2018,1800
24-11-2018,1600
25-11-2018,1500
26-11-2018,1600
27-11-2018,1600
28-11-2018,1600
29-11-2018,1600
30-11-2018,1600
01-12-2018,1400
02-12-2018,1600
03-12-2018,1500
04-12-2018,1600
05-12-2018,1600
06-12-2018,1600
07-12-2018,1600
08-12-2018,1600
09-12-2018,1600
10-12-2018,1600
11-12-2018,1600
12-12-2018,1600
13-12-2018,1600
14-12-2018,1500
15-12-2018,1400
16-12-2018,1400
17-12-2018,1400
18-12-2018,1400
19-12-2018,1500
20-12-2018,1500
21-12-2018,1500
22-12-2018,1500
23-12-2018,1400
24-12-2018,1500
25-12-2018,1500
26-12-2018,1500
27-12-2018,1500
28-12-2018,1500
29-12-2018,1500
30-12-2018,1500
31-12-2018,1500
01-01-2019,1100
02-01-2019,1100
03-01-2019,1000
04-01-2019,1100
05-01-2019,1100
06-01-2019,1100
07-01-2019,1100
08-01-2019,1100
09-01-2019,1100
10-01-2019,1100
11-01-2019,1100
12-01-2019,900
13-01-2019,1000
14-01-2019,1000
15-01-2019,1000
16-01-2019,1000
17-01-2019,1000
18-01-2019,1000
19-01-2019,1100
20-01-2019,1100
21-01-2019,1100
22-01-2019,1100
23-01-2019,1000
24-01-2019,900
25-01-2019,900
26-01-2019,900
27-01-2019,800
28-01-2019,800
29-01-2019,800
